level0,level1,level2
,,べからず
,,まじき
,Conjecture 推量,
,,だろう〈推量》
,,かもしれない
,,らしい〈推量〉
,,だろうとおもう
,,ようだ〈推量〉
,,みたいだ〈推量>
,,はずだ〈必然的帰結〉
,,はずがない
,,はずだ〈当然〉
,,まい〈否定の推量〉
,,まいか
,,おそれがある
,,かねない
,,にちがいない
,,にそういない
,,とみえて
,"Hearsay, quotations 伝聞・引用",
,,という〈名前〉
,,という〈内容説明>
,,そうだ〈伝聞〉
,,と〈直接話法>
,,と〈間接話法〉
,,ように(と言う)く間
,,接話法〉
,,しろく命令〉と(言う)
,,な〈禁止〉と(言う)
,,ということだく伝聞>
,,とか
,,って<伝聞>
,,よし
,Explanations 説明,
,,のだ〈説明
,,のは~だ
,,のですか
,Giving and receiving 授受,
,,あげる
,,もらう
,,くれる
,,てあげる
,,てもらう
,,てくれる
,Causative 使役,
,,させる〈強制の使役>
,,させる〈許可・恩恵の使役)
,,させる〈誘発の使役>
,,させる〈責任の使役>
,,させる〈他動詞化の使役〉
,"Passive, causative passive 受け身・使役受け身",
,,られる〈受け身》
,,られる〈持ち主の受け身》
,,られる〈被害の受け身〉
,,られる非情の受け身〉
,,させられる
,,られる〈自発》
,Polite language 敬意,
,,お~になる
,,お~する
,,られる〈尊敬〉
,,お~・ご~
,,お~だ
,Object concerned 対象,
,,ため(に)〈恩恵〉
,,について
,,にかんして
,,にたいして〈対象〉
,,にこたえて
,,をめぐって
,,むけに
,,むきに
,,にかかわる
,Topics 話題,
,,とは〈定義〉
,,というものは
,,というのは
,,といえば
,,というと〈連想〉
,,というと〈確認〉
,,はというと
,,といったら
,,にかけては
,,こととなると
,,って〈主題》
,,となると〈話題〉
,,ときたら
,,にいたっては
,"Means, mediation 手段・媒介",
,,によって〈手段・方法〉
,,によって〈受け身の動作主〉
,,によると
,,をつうじて〈手段・媒介〉
,,をとおして〈手段・媒介〉
,,をもって<手段>
,"Origins, end points, limits, range 機転・終点・限界・範囲",
,,をはじめ
,,をはじめとして
,,からして
,,から~にかけて
,,にわたって
,,をつうじて〈継続期間〉
,,をとおしてく継続期間〉
,,だけ
,,かぎり〈限界〉
,,をかわきりに(して)
,,にいたるまで
,,をかぎりに
,,をもって〈期限〉
,,というところだ
,Limitations 限定,
,,にかぎり
,,にかぎって
,,かぎりでは
,,かぎり(は)〈条件の
,,範囲〉
,,ただ〜のみ
,,ならでは
,,をおいて
,Non-limitations 比限定,
,,ばかりでなく
,,ばかりか
,,にかぎらず
,,のみならず
,,ただ~だけでなく
,,にとどまらず
,Additions 付加,
,,も~し、〜も
,,も~ば、も
,,うえ(に)
,,はもちろん
,,はもとより
,,にくわえて
,,はおろか
,,もさることながら
,,とあいまって
,"Incidental situations, non-incidental situations 付帯状態・非付帯状態",
,,て〈方法・状態>
,,ないで
,,ずに
,,ついでに
,,をこめて
,,ことなく
,,ぬきで
,,をぬきにして
,,かたわら
,,がてら
,,かたがた
,Interrelations 相関関係,
,,ば~ほど
,,ほど〈相関関係)
,,につれて
,,にしたがって
,,にともなって
,,とともに相関関係
,Progression 進行,
,,いっぽうだ
,,ばかりだ
,,つつある
,,ようとしている
,Standpoint for judgment 判断の立場,
,,にとって
,,として
,,のうえで
,,からいうと
,,からすると
,,にしたら
,,にしたところで
,,なりに
,Point of view of evaluation 評価の視点,
,,にしては
,,わりに(は)
,,だけあって
,,ともなると
,,ともあろう
,,たる
,Criteria 基準,
,,ように〈同様〉
,,とおり(に)
,,にそって
,,にもとづいて
,,をもとに(して)
,,のもとで
,,をちゅうしんとして
,,にそくして
,,ごとく
,,をふまえて
,"Relations, correspondence 関連・対応",
,,によって<対応>
,,によっては
,,しだいで
,,しだいでは
,,におうじて
,,たび(に)
,,につけ(て)
,,をきっかけに(して)
,,をけいきに(して)
,,いかんで
,,いかんでは
,"Non-relationships, exclusion 無関係・除外",
,,をとわず
,,にかかわらず
,,にかかわりなく
,,もかまわず
,,はともかく(として)
,,はさておき
,,はべつとして
,,いかんにかかわらず
,,いかんによらず
,,をものともせず(に)
,,をよそに
,,はいざしらず
,Illustrations 例示,
,,ような
,,とか~とか
,,やら~やら
,,にしても~にしても
,,にしろ~にしろ
,,にせよ~にせよ
,,というか~というか
,,といった
,,なり~なり
,,であれ~であれ
,,といい~といい
,,といわず~といわず
,Relative emphasis 軽重の強調,
